Date,Open,High,Low,Close,Volume,MarketCap,UsdPrice,AtoRate,AudPrice
21/03/2018,8937.48,9177.37,8846.33,8929.28,6043130000.00,151316000000.00,8929.28,0.8039,11107.45118
20/03/2018,8619.67,9051.02,8389.89,8913.47,6361790000.00,145922000000.00,8913.47,0.8075,11038.35294
19/03/2018,8344.12,8675.87,8182.40,8630.65,6729110000.00,141240000000.00,8630.65,0.8069,10696.05899
18/03/2018,7890.52,8245.51,7397.99,8223.68,6639190000.00,133547000000.00,8223.68,0.8157,10081.74574
17/03/2018,8321.91,8346.53,7812.82,7916.88,4426150000.00,140834000000.00,7916.88,0.8157,9705.627069
16/03/2018,8322.91,8585.15,8005.31,8338.35,5289380000.00,140834000000.00,8338.35,0.8157,10222.32438
15/03/2018,8290.76,8428.35,7783.05,8300.86,6834430000.00,140275000000.00,8300.86,0.8238,10076.30493
14/03/2018,9214.65,9355.85,8068.59,8269.81,6438230000.00,155891000000.00,8269.81,0.8209,10074.07723
13/03/2018,9173.04,9470.38,8958.19,9194.85,5991140000.00,155168000000.00,9194.85,0.8236,11164.21807
12/03/2018,9602.93,9937.50,8956.43,9205.12,6457400000.00,162421000000.00,9205.12,0.8207,11216.18131
11/03/2018,8852.78,9711.89,8607.12,9578.63,6296370000.00,149716000000.00,9578.63,0.8145,11760.13505
10/03/2018,9350.59,9531.32,8828.47,8866.00,5386320000.00,158119000000.00,8866,0.8145,10885.20565
9/03/2018,9414.69,9466.35,8513.03,9337.55,8704190000.00,159185000000.00,9337.55,0.8145,11464.14979
8/03/2018,9951.44,10147.40,9335.87,9395.01,7186090000.00,168241000000.00,9395.01,0.8173,11495.17925
7/03/2018,10803.90,10929.50,9692.12,9965.57,8797910000.00,182631000000.00,9965.57,0.8177,12187.31809
6/03/2018,11500.10,11500.10,10694.30,10779.90,6832170000.00,194378000000.00,10779.9,0.8118,13279.00961
5/03/2018,11532.40,11704.10,11443.90,11573.30,6468540000.00,194903000000.00,11573.3,0.8102,14284.49765
4/03/2018,11497.40,11512.60,11136.10,11512.60,6084150000.00,194289000000.00,11512.6,0.8117,14183.31896
3/03/2018,11101.90,11528.20,11002.40,11489.70,6690570000.00,187581000000.00,11489.7,0.8117,14155.10657
2/03/2018,10977.40,11189.00,10850.10,11086.40,7620590000.00,185456000000.00,11086.4,0.8117,13658.24812
1/03/2018,10385.00,11052.30,10352.70,10951.00,7317280000.00,175427000000.00,10951,0.8136,13459.93117
28/02/2018,10687.20,11089.80,10393.10,10397.90,6936190000.00,180510000000.00,10397.9,0.8152,12755.02944
27/02/2018,10393.90,10878.50,10246.10,10725.60,6966180000.00,175536000000.00,10725.6,0.8208,13067.25146
26/02/2018,9669.43,10475.00,9501.73,10366.70,7287690000.00,163283000000.00,10366.7,0.8177,12677.87697
25/02/2018,9796.42,9923.22,9407.06,9664.73,5706940000.00,165407000000.00,9664.73,0.8202,11783.3821
24/02/2018,10287.70,10597.20,9546.97,9813.07,6917930000.00,173682000000.00,9813.07,0.8202,11964.24043
